Address,Title,Price,Area,Land Area,Rooms,Price per m²,Link
Ursynów,dom na sprzedaż 540m2,5 300 000 zł,"540 
m
2","0,0926 
ha",7,"9 815 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-540m2/155671622
"Wilanów, Rosy",dom na sprzedaż 191m2,2 592 000 zł,"191 
m
2","0,0412 
ha",5,"13 571 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-rosy-191m2/155645911
Wilanów Powsin,dom na sprzedaż 240m2,2 399 000 zł,"240 
m
2","0,0550 
ha",7,"9 996 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-powsin-240m2/155629402
Wilanów,dom na sprzedaż 360m2,5 500 000 zł,"360 
m
2","0,0750 
ha",7,"15 278 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-360m2/155566905
Mokotów Sadyba,dom na sprzedaż 230m2,2 100 000 zł,"230,03 
m
2","0,0177 
ha",6,"9 129 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-sadyba-230m2/155551535
"Wilanów Zawady, Bruzdowa",dom na sprzedaż 420m2,4 200 000 zł,"420 
m
2","0,1200 
ha",5,"10 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-zawady-bruzdowa-420m2/155672724
"Wilanów Zawady, Bruzdowa",dom na sprzedaż 285m2,3 498 000 zł,"285,20 
m
2","0,0926 
ha",8,"12 265 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-zawady-bruzdowa-285m2/155672620
Wilanów,dom na sprzedaż 200m2,2 890 000 zł,"200 
m
2","0,0244 
ha",6,"14 450 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-200m2/155666294
Ursynów,dom na sprzedaż 300m2,3 250 000 zł,"300 
m
2","0,0350 
ha",5,"10 833 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-300m2/155659088
Wilanów,dom na sprzedaż 233m2,2 390 000 zł,"232,64 
m
2","0,0530 
ha",5,"10 273 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-233m2/155654144
Mokotów Sadyba,dom na sprzedaż 171m2,2 800 000 zł,"171,08 
m
2","0,0313 
ha",6,"16 367 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-sadyba-171m2/155701531
Mokotów Sadyba,dom na sprzedaż 270m2,4 950 000 zł,"270 
m
2","0,0300 
ha",5,"18 333 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-sadyba-270m2/155682843
Wilanów,dom na sprzedaż 350m2,3 340 000 zł,"350 
m
2","0,0800 
ha",5,"9 543 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-350m2/155728033
Wilanów,dom na sprzedaż 360m2,3 995 000 zł,"360 
m
2","0,0520 
ha",6,"11 097 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-360m2/155706943
"Wawer, Anin, Anin",dom na sprzedaż 450m2,2 430 000 zł,"450 
m
2","0,0754 
ha",6,"5 400 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-anin-450m2/155371176
"Ursynów, Dezyderego Adama Chłapowskiego",dom na sprzedaż 338m2,3 200 000 zł,"337,50 
m
2","0,0670 
ha",9,"9 481 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-dezyderego-adama-chlapowskiego-338m2/155142270
