Title,URL,Location,Total Price,Area,Price per m²,Property Type,Rooms,Plot Area,Description,Image
"Dom z garażem, ul. Zawojska","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25610896.html",Sadyba Warszawa,2 399 000 zł,240 m²,"9 995,83 zł/m²",część domu,6,244 m²,"Zapraszam do zapoznania się z wyjątkową ofertą sprzedaży segmentu o powierzchni 240 m , położonego w prestiżowej części Dolnego Mokotowa - na urokliwej Sadybie, przy ul....",https://i.st-nieruchomosci-online.pl/8kbg86c/dom-warszawa.jpg
Nowy dom szeregowy ul. Przesmyckiego 25,"https://piaseczno.nieruchomosci-online.pl/nowy-dom,przesmyckiego-25c/24592304.html?2,dom",Piaseczno,1 099 000 zł,"138,81 m²","7 917,30 zł/m²",deweloperski,5,zrealizowana,"Oferta przedstawia ostatnie dostępne domy na monitorowanym, zamkniętym osiedlu Przesmyckiego 25C w Piasecznie lokale są gotowe do odbioru! Powierzchnia: segmenty o metrażu od 139 do 152 m ,...",https://i.st-nieruchomosci-online.pl/8fw43kc/dom-piaseczno.jpg
Nowy dom szeregowy ul. Przesmyckiego 25,"https://piaseczno.nieruchomosci-online.pl/nowy-dom,przesmyckiego-25c/24592277.html?2,dom",Piaseczno,1 099 000 zł,"138,47 m²","7 936,74 zł/m²",deweloperski,5,zrealizowana,"Oferta przedstawia ostatnie dostępne domy na monitorowanym, zamkniętym osiedlu Przesmyckiego 25C w Piasecznie lokale są gotowe do odbioru! Powierzchnia: segmenty o metrażu od 139 do 152 m ,...",https://i.st-nieruchomosci-online.pl/8fw49kc/dom-piaseczno.jpg
Nowy dom szeregowy ul. Przesmyckiego 25,"https://piaseczno.nieruchomosci-online.pl/nowy-dom,przesmyckiego-25c/24592271.html?2,dom",Piaseczno,1 149 000 zł,"150,60 m²","7 629,48 zł/m²",deweloperski,5,zrealizowana,"Oferta przedstawia ostatnie dostępne domy na monitorowanym, zamkniętym osiedlu Przesmyckiego 25C w Piasecznie lokale są gotowe do odbioru! Powierzchnia: segmenty o metrażu od 139 do 152 m ,...",https://i.st-nieruchomosci-online.pl/8fw4wzc/dom-piaseczno.jpg
Dom z garażem,"https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25520364.html",Szamocin Warszawa,1 400 000 zł,"124,05 m²","11 285,77 zł/m²",dom szeregowy,5,190 m²,"Mam przyjemność zaprezentować Państwu ciepły i przytulny dom w zabudowie szeregowej, wykończony w wysokim standardzie, usytuowany w spokojnej i cichej okolicy przy ul. Ogrody...",https://i.st-nieruchomosci-online.pl/8hx3x4c/dom-warszawa.jpg
"Dom bliźniak, ul. Paderewskiego","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25667247.html",Wesoła Warszawa,799 000 zł,"115,56 m²","6 914,16 zł/m²",bliźniak,5,106 m²,"Sprzedaż bezpośrednio od dewelopera. ul.Paderewskiego 74- NAJLEPSZA LOKALIZACJA W SULEJÓWKU, blisko granicy z Warszawa Wesoła Segment trzypoziomowy 115,56m2 (parter + piętro + poddasze)...",https://i.st-nieruchomosci-online.pl/8kbgqmc/dom-warszawa.jpg
"Dom z tarasem, ul. Wał Miedzeszyński","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25620504.html",Wawer Warszawa,1 599 000 zł,134 m²,"11 932,84 zł/m²",bliźniak,5,150 m²,"Twój wymarzony dom z widokiem na panoramę Warszawy! Kup bezpośrednio od dewelopera rynek pierwotny Zapraszamy do nowoczesnego osiedla w zielonej dzielnicy Wawer-Las, przy ul. Wał Miedzeszyński...",https://i.st-nieruchomosci-online.pl/8k18d4c/dom-warszawa.jpg
"Dom z garażem, ul. Algierska","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25589218.html",Praga-Południe Warszawa,3 990 000 zł,"238,80 m²","16 708,54 zł/m²",dom szeregowy,7,283 m²,"Mamy przyjemność zaprezentować warszawski dom dla wymagających dla tych, którzy cenią sobie nie tylko komfort i przestrzeń, ale również unikalny klimat miejsca, w którym żyją. Jeśli...",https://i.st-nieruchomosci-online.pl/8hbxxyc/dom-warszawa.jpg
Nowy bliźniak ul. Szyszkowa 33,"https://slomin.nieruchomosci-online.pl/nowy-dom,nova-magdalenka-6/25328707.html?2,dom",Słomin,589 000 zł,"65,83 m²","8 947,29 zł/m²",deweloperski,3,maj 2026,"Ten funkcjonalny 65-metrowy dom z kameralnym, prawie 30-metrowym ogródkiem to doskonała opcja dla mniejszej rodziny. Na parterze znajduje się salon z aneksem kuchennym i doskonale...",https://i.st-nieruchomosci-online.pl/825b38c/dom-slomin.jpg
Nowy bliźniak ul. Szyszkowa 33,"https://slomin.nieruchomosci-online.pl/nowy-dom,nova-magdalenka-6/25328291.html?2,dom",Słomin,609 000 zł,"72,90 m²","8 353,91 zł/m²",deweloperski,3,maj 2026,"72-metrowy dom 3 pokojami spełni oczekiwania rodziny. Na parterze znajduje się duży salon z aneksem kuchennym i wyjściem do ogrodu, gdzie zażyjesz odpoczynku w promieniach słońca. Mamy...",https://i.st-nieruchomosci-online.pl/825xw5c/dom-slomin.jpg
