Title,URL,Price,Location,Image,Offer type,Rooms,Area,Price per m²
Stara Miłosna Wesoła dom wolnostojący,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/stara-milosna-wesola-dom-wolnostojacy-ID4tEZB,1 800 000 zł,"ul. Pogodna, Stara Miłosna, Wesoła, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InI3bHIybWxwN2kwaDMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.jObXKGvgZkbP-MjC-9YXbgOvn2PX9rj3WknaafdsHrw/image;s=655x491;q=80,"Home Emperor sp. z o.o.
Biuro nieruchomości",6 pokoi,255 m²,7059 zł/m²
Dom - Warszawa Choszczówka,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/dom-warszawa-choszczowka-ID4whMG,1 650 000 zł,"Choszczówka, Białołęka, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImYycmNuMW9zY295bzEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.qJ6GDIZ1kBCVtYR3Yug9u0S8KJ1XfKv8HGDNRg_fwFo/image;s=655x491;q=80,Oferta prywatna,6 pokoi,142 m²,11 620 zł/m²
"Mokotów, ul.Wróbla 20B",https://www.otodom.plhttps://www.otodom.pl/pl/oferta/mokotow-ul-wrobla-20b-ID4oXWR,3 900 000 zł,"ul. Wróbla, Służew, Mokotów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImV2bnRiZXplZnNnMjItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.DC45AsQEGD4xarqyKq33_C3Kn1UtNdwAhbPHmxl0KJs/image;s=655x491;q=80,Oferta prywatna,10+ pokoi,350 m²,11 143 zł/m²
Osiedle Czarnuszki | dom 5-pok. | 13,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/osiedle-czarnuszki-dom-5-pok-13-ID4te3F,1 499 000 zł,"ul. Czarnuszki, Nadwiśle, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Iml5a2Y1c2Q1NWFlZDEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.ShNgpcK6qi4Z6NRwSW9pT6QYwzfAp-t2D8K_ez_ZK6A/image;s=655x491;q=80,"Inter Dos Sp. z o.o.
Deweloper",5 pokoi,162.12 m²,9246 zł/m²
4-pokojowy dom 101m2 + ogródek Bez Pośredników,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/4-pokojowy-dom-101m2-ogrodek-bez-posrednikow-ID4u9RW,Zapytaj o cenę,"ul. Wiklinowa, Henryków, Białołęka, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InU0b3djcWg4cWQxOTItRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.CReQ2Lv7u3JqVo5hvgFuZCRz3yAONw_mtYUFhO63H-E/image;s=655x491;q=80,"Weisenburger
Deweloper",4 pokoje,101.54 m²,N/A
4-pokojowy dom 81m2 + ogródek Bezpośrednio,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/4-pokojowy-dom-81m2-ogrodek-bezposrednio-ID4ulUo,889 000 zł,"ul. Inna, Szamocin, Białołęka, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFndzZmMzdudWhpYTEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.ovGWqaPLk-CWvYrBtcBAcBUAb67G7K1CzbZyBi7sFng/image;s=655x491;q=80,"Novisa Development
Deweloper",3 pokoje,69.4 m²,10 937 zł/m²
Dom z ogrodem i z garażem na przedmieściu,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/dom-z-ogrodem-i-z-garazem-na-przedmiesciu-ID4wj7d,2 500 000 zł,"Stara Miłosna, Wesoła, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InI5anM4N3pxaGFuOTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.5jEajg831eWMjkgPKJher40MxPKNjI1lR6kXjwjwwKc/image;s=655x491;q=80,Oferta prywatna,7 pokoi,358 m²,6983 zł/m²
6-pokojowy dom 181m2 + ogródek Bez Prowizji,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/6-pokojowy-dom-181m2-ogrodek-bez-prowizji-ID4wBgc,1 853 280 zł,"ul. Podróżnicza, Henryków, Białołęka, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZxZGRuZzZlbHNxdDEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.pEJlgxhsOkS52WwP3m3ePXhes_1yFzLPY1phv6A_Y5Y/image;s=655x491;q=80,"Abre Development
Deweloper",6 pokoi,181.1 m²,10 233 zł/m²
Energooszczędny Dom 600m² Ogród| Oddanie 4kw. 2025,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/energooszczedny-dom-600m-ogrod-oddanie-4kw-2025-ID4ueLA,1 720 000 zł,"ul. Baletowa, Jeziorki Południowe, Ursynów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjMxMXA4cXkybDlhaS1BUEwiLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.H7HDRd1tGoIZIFNCvX2_gKPosKbHSonCFNtWE-4z2hg/image;s=655x491;q=80,"qualityliving.pl
Deweloper",5 pokoi,171 m²,10 058 zł/m²
4-pokojowy dom 91m2 + 2 ogródki Bez Prowizji,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/4-pokojowy-dom-91m2-2-ogrodki-bez-prowizji-ID4uyUM,Zapytaj o cenę,"ul. Stanisława Leszczyńskiego 25, Gołąbki, Ursus, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZyaXpnczRpMHljYTEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.Sl452o0jQL7Z0D-S9Tg0YR4vrH3flmfMEWF6shCj3PA/image;s=655x491;q=80,"Weisenburger
Deweloper",3 pokoje,65.39 m²,N/A
